2019-03-25 19:15:57,b'hey baby I miss you U+1F601'
2019-03-25 18:45:24,b'hey baby can you come over? U+1F601'
2019-03-25 17:45:12,"b""hey baby I'm lonely U+1F601"""
2019-03-25 17:35:17,"b""umm I'm lonely U+1F601"""
2019-03-25 17:15:33,b'umm can you come over? U+1F601'
2019-03-25 15:35:35,b'listen wyd? U+1F601'
2019-03-25 15:25:09,b'listen I miss you U+1F601'
2019-03-25 14:55:17,b'umm what you doing? U+1F601'
2019-03-25 14:45:45,b'hey can you come over? U+1F601'
2019-03-25 14:35:19,b'hey baby what you doing? U+1F601'
2019-03-25 14:25:18,b'wtf I miss you U+1F601'
2019-03-25 14:05:24,b'wtf wyd? U+1F601'
2019-03-25 13:55:03,b'umm wyd? U+1F601'
2019-03-25 12:55:26,b'hey baby do you miss me? U+1F601'
2019-03-25 12:45:27,b'hey wyd? U+1F601'
2019-03-25 11:35:12,b'umm do you miss me? U+1F601'
2019-03-25 10:04:55,b'wtf do you miss me? U+1F601'
2019-03-25 09:25:10,b'hi wyd? U+1F601'
2019-03-25 08:55:13,b'listen what you doing? U+1F601'
2019-03-25 08:25:04,b'wtf can you come over? U+1F601'
2019-03-25 08:05:12,"b""hey I'm lonely U+1F601"""
2019-03-25 07:34:56,b'hi do you miss me? U+1F601'
2019-03-25 06:55:00,b'hi I miss you U+1F601'
2019-03-25 06:45:13,"b""wtf I'm lonely U+1F601"""
2019-03-25 06:24:56,b'hey do you miss me? U+1F601'
2019-03-25 05:45:05,b'hey baby wyd? U+1F601'
2019-03-25 05:17:18,"b""RT @robort0101: hi I'm lonely U+1F601"""
2019-03-25 05:15:36,"b""hi I'm lonely U+1F601"""
2019-03-25 04:54:55,b'hey baby can you come over? U+1F601'
2019-03-25 04:45:32,b'hey what you doing? U+1F601'
2019-03-25 03:25:20,b'umm I miss you U+1F601'
2019-03-25 03:05:09,b'listen can you come over? U+1F601'
2019-03-25 02:55:03,"b""listen I'm lonely U+1F601"""
2019-03-25 02:04:58,b'wtf wyd? U+1F601'
2019-03-25 01:35:00,b'hi what you doing? U+1F601'
2019-03-25 00:05:09,b'listen I miss you U+1F601'
2019-03-24 23:24:59,b'hi can you come over? U+1F601'
2019-03-24 23:05:17,b'umm can you come over? U+1F601'
2019-03-24 22:25:06,b'hey baby I miss you U+1F601'
2019-03-24 21:45:28,b'umm do you miss me? U+1F601'
2019-03-24 21:35:31,b'hey baby wyd? U+1F601'
2019-03-24 21:15:21,b'hi wyd? U+1F601'
2019-03-24 20:25:43,b'wtf I miss you U+1F601'
2019-03-24 20:05:37,b'listen what you doing? U+1F601'
2019-03-24 18:08:37,b'listen wyd? U+1F601'
2019-03-24 17:55:12,b'hey wyd? U+1F601'
2019-03-24 17:25:05,b'hey baby what you doing? U+1F601'
2019-03-24 17:15:06,b'wtf do you miss me? U+1F601'
2019-03-24 17:05:02,"b""umm I'm lonely U+1F601"""
2019-03-24 16:55:07,"b""hi I'm lonely U+1F601"""
